Model,CometReferenceModel,JenningsReferenceModel,Cap,PeakTestVoltage,RFPeakWorkingVoltage,MaxRFCurrent,DimensionsDiam,DimensionsLength,MaximumWeight,link
VCFP-750-35D2075,-,CVFP-750-35S,20-750,35,21,210,182.88,297.18,8,
VCFP-750-40S,-,CVFP-750-40S,20-750,40,24,220,182.88,297.18,9,
CKTB1000/3.5/60,,,10-1000,5,3.5,60,79,219,1.5,,/UpLoad/201407/2014070336641653.jpg
CVCD-1000-3S,CV05C-1000U,CVCD-1000-3S,10-1000,3,1.8,75,87.38,180.3,1.7
CVCD-1000-5S,CV05C-1000U,CVCD-1000-5S,10-1000,5,3,80,87.38,180.3,1.7,
VC03C-1000G/3,CV03C-1000G/3,,8-1000,3,1.8,65,45.2,122.1,,,/UpLoad/201407/2014070336475637.jpg
VC3W-1000JB,CV3W-1000JB,,100-1000,50/45/40,30/27/24,809796,214,474,18,/UpLoad/201312/2013122667139225.pdf
VC05C-1000PM,CV05C1000PM,-,50-1000,5,3,77,87,132,1.4,/UpLoad/201407/2014070336337809.jpg
VCAV3-1000-0040,CV3A-1000E,CAV3-1000-0040,40-1000,40,24,480,218,368.3,13
VCAV3-1000-0045,CV3A-1000E,CAV3-1000-0045,40-1000,45,27,490,218,368.3,13,
VCAV3-1000-0050,CV3A-1000E,CAV3-1000-0050,40-1000,50,30,500,218,368.3,13,
VCCJ-1000-3S,CV05-1000NW,CVCJ-1000-3S,7-1000,3,1.8,60,77.92,192,1.3,,/UpLoad/201407/2014070335908917.jpg
VCCJ-1000-5S,CV05-1000NW,CVCJ-1000-5S,7-1000,5,3,70,77.92,192,1.3,/UpLoad/201407/2014070335853045.jpg
VCDD-1000-7.5S,CV1C-1000E,CVDD-1000-7.5S,25-1000,7.5,4.5,130,115.8,203.2,3,/UpLoad/201407/2014070335477201.jpg
VCDD-1000-10S,CV1C-1000E,CVDD-1000-10S,25-1000,10,6,140,115.8,203.2,3,/UpLoad/201407/2014070335537561.jpg
VCDD-1000-15S,CV1C-1000E,CVDD-1000-15S,25-1000,15,9,150,115.8,203.2,3,/UpLoad/201407/2014070335609201.jpg
VCEP-1000-10S,,CVEP-1000-10S,50-1000,10,6,150,182.88,259.08,8
VCEP-1000-15S,,CVEP-1000-15S,50-1000,15,9,165,182.88,259.08,8,
VCEP-1000-20S,,CVEP-1000-20S,50-1000,20,12,180,182.88,259.08,8,
VCFP-1000-30S,CV2C-1000KEH,CVFP-1000-30S,35-1000,30,18,215,183,292.2,9,,/UpLoad/201407/2014070335326637.jpg
VCFP-1000-35S,CV2C-1000KEH,CVFP-1000-35S,35-1000,35,21,220,183,297.2,9,/UpLoad/201407/2014070335301077.jpg
VCFP-1000-40S,CV2C-1000KEH,CVFP-1000-40S,35-1000,40,24,225,183,297.2,9,/UpLoad/201407/2014070335200357.jpg
VCHP-1000-40S,-,CVHP-1000-40S,60-1000,40,24,260,203.2,368.3,14
VCHP-1000-50S,CV3C-1000E,CVHP-1000-50S,60-1000,50,30,270,203.2,368.5,14,
VCHP-1000-45S,CV3C-1000E,CVHP-1000-45S,60-1000,45,27,265,203.2,368.5,14,
CKTBS1200/35/750,,,40-1200,50,35,750,212,553,19,,/UpLoad/201312/2013122667091525.pdf
CKTB1200/35/300,-,-,50-1200,50,35,300,250,476,27,/UpLoad/201407/2014070333348903.jpg
VC3W-1300FB,CV3W-1300FB,CWV5-1300-0150,40-1300,50/45/40,30/27/24,765796,214,546,19,/UpLoad/201312/2013122667160321.pdf
CVCD-1500-3S,,CVCD-1500-3S,10-1500,3,1.8,80,87.38,180.3,1.7
CVCD-1500-5S,CV05C-1500EW,CVCD-1500-5S,10-1500,5,3,100,87.38,180.3,1.7,
VCDP-1500-7.5S,CV1C-1500EW,CVDP-1500-7.5S,35-1500,7.5,4.5,160,142.7,249,6,,/UpLoad/201312/2013122667739449.pdf
VCDP-1500-10S,CV1C-1500EW,CVDP-1500-10S,35-1500,10,6,165,142.7,249,6,/UpLoad/201312/2013122667739449.pdf
VCDP-1500-15S,CV1C-1500EW,CVDP-1500-15S,35-1500,15,9,180,142.7,249,6,/UpLoad/201312/2013122667739449.pdf
VCFP-1500-30S,CV2C-1500EF,CVFP-1500-30S,100-1500,30,18,215,183,350.5,10,/UpLoad/201407/2014070333011763.jpg
VCFP-1500-35S,CV2C-1500EF,CVFP-1500-35S,100-1500,35,21,220,183,350.5,10,/UpLoad/201407/2014070332935779.jpg
VCFP-1500-40S,CV2C-1500EF,CVFP-1500-40S,100-1500,40,24,225,183,350.5,10,/UpLoad/201407/2014070332879841.jpg
VCFP-1500-40D2975,CV2C-1500F,CVFP-1500-40D2975,100-1500,40,24,225,183,350.5,10,/UpLoad/201407/2014070332819169.jpg
VC3W-1600E,CV3W-1600E,CWV2-1600-0040,100-1600,40/35/30,24/21/18,821854,212,635,22,/UpLoad/201312/2013122667178913.pdf
VCEP-2000-10S,CV1C-2000G,CVEP-2000-10S,100-2000,10,6,190,183,260,9,/UpLoad/201407/2014070832787025.jpg
VCEP-2000-15S,CV1C-2000G,CVEP-2000-15S,100-2000,15,9,200,183,260,9,/UpLoad/201407/2014070832742617.jpg
VCFP-2000-25S,,CVFP-2000-25S,100-2000,25,15,205,208.28,368.3,13.3,/UpLoad/201407/2014070832471319.jpg
VCFP-2000-30S,,CVFP-2000-30S,100-2000,30,18,215,208.28,368.3,13.3,/UpLoad/201407/2014070832347913.jpg
VCFP-2000-35S,-,CVFP-2000-35S,100-2000,35,21,220,208.28,368.3,13.3,/UpLoad/201407/2014070832398087.jpg
VCDP-2300-7.5S,CV1C-2300,CVDP-2300-7.5S,50-2300,7.5,4.5,160,142.7,249,4.5,/UpLoad/201407/2014070832250789.jpg
VCDP-2300-10S,CV1C-2300,CVDP-2300-10S,50-2300,10,6,180,142.7,249,4.5,/UpLoad/201407/2014070832161837.jpg]]
